##SIR iterated, tauI=7 tauR=18 R0=1.40  produced by macroInfection[.cpp]
#time[days]	S	I	R
460.0000	0.41765	0.00000	0.58235
461.0000	0.41765	0.00000	0.58235
462.0000	0.41765	0.00000	0.58235
463.0000	0.41765	0.00000	0.58235
464.0000	0.41765	0.00000	0.58235
465.0000	0.41765	0.00000	0.58235
466.0000	0.41765	0.00000	0.58235
467.0000	0.41765	0.00000	0.58235
468.0000	0.41765	0.00000	0.58235
469.0000	0.41765	0.00000	0.58235
470.0000	0.41765	0.00000	0.58235
471.0000	0.41765	0.00000	0.58235
472.0000	0.41765	0.00000	0.58235
473.0000	0.41765	0.00000	0.58235
474.0000	0.41765	0.00000	0.58235
475.0000	0.41765	0.00000	0.58235
476.0000	0.41765	0.00000	0.58235
477.0000	0.41765	0.00000	0.58235
478.0000	0.41765	0.00000	0.58235
479.0000	0.41765	0.00000	0.58235
480.0000	0.41765	0.00000	0.58235
481.0000	0.41765	0.00000	0.58235
482.0000	0.41765	0.00000	0.58235
483.0000	0.41765	0.00000	0.58235
484.0000	0.41765	0.00000	0.58235
485.0000	0.41765	0.00000	0.58235
486.0000	0.41765	0.00000	0.58235
487.0000	0.41765	0.00000	0.58235
488.0000	0.41765	0.00000	0.58235
489.0000	0.41765	0.00000	0.58235
490.0000	0.41765	0.00000	0.58235
491.0000	0.41765	0.00000	0.58235
492.0000	0.41765	0.00000	0.58235
493.0000	0.41765	0.00000	0.58235
494.0000	0.41765	0.00000	0.58235
495.0000	0.41765	0.00000	0.58235
496.0000	0.41765	0.00000	0.58235
497.0000	0.41765	0.00000	0.58235
498.0000	0.41765	0.00000	0.58235
499.0000	0.41765	0.00000	0.58235
